author,category,content,date,media,photo,title,url
김기남 기자 kknphoto@kyunghyang.com,,['-->8일 대전 충무체육관에서 열린 프로배구 2016~2017 시즌 V리그 남자부 삼성화재 대 대한항공의 경기에서 삼성화재 박철우가 스파이크 공격하고 있다.'],2017.01.08 15:32,경향일보,,,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201701081532011&code=980300
,,,,,,,https://sports.news.naver.com/volleyball/news/read.nhn?oid=530&aid=0000000788
,,[],2017.01.06,전자신문,,"[로봇뉴스]하나금융지주_외국인/개인 순매수, 기관은 순매도(한달누적)",http://www.etnews.com/20170106000082
,,,,,,,https://sports.news.naver.com/volleyball/news/read.nhn?oid=446&aid=0000000077
,,[],2017.01.04,전자신문,,"[로봇뉴스]하나금융지주_거래비중 기관 29.27%, 외국인 53.76%",http://www.etnews.com/20170104000193
김흥순 기자 sport@asiae.co.kr,,"['우리카드[사진=김현민 기자][아시아경제 김흥순 기자] 남자 프로배구 우리카드가 새해 첫 경기를 승리로 장식하며 4위로 도약했다. 우리카드는 3일 장충체육관에서 열린 NH농협 2016~2017 V리그 남자부 4라운드 홈경기에서 OK저축은행에 세트스코어 3-1(27-29 25-21 25-23 25-19)로 역전승했다. 10승10패(승점 31)로 두 자릿수 승수와 승점 30점 고지를 넘으면서 삼성화재(승점 29)를 밀어내고 5위에서 한 계단 올라섰다. 외국인 공격수 크리스티안 파다르가 서브에이스 두 개 포함 32점을 올려 승리를 이끌었다. 최홍석(13점)과 박상하(10점), 신으뜸(10점) 등 국내 선수들도 고르게 두 자릿수 득점을 올려 힘을 보탰다. 우리카드 파다르[사진=김현민 기자]OK저축은행은 주포 모하메드 알 하치대디가 양 팀 가장 많은 34점을 책임졌으나 주축 선수들의 부상 공백을 메우지 못했다. 중앙 공격수 박원빈은 지난달 29일 KB손해보험과의 홈경기에서 오른쪽 발목을 다쳐 남은 시즌을 더 이상 뛰지 못하게 됐다. 왼쪽 공격수 송희채도 발목이 좋지 않아 이날 경기에 결장했다. 4승16패(승점 11)로 팀 순위는 최하위에 머물렀다. googletag.cmd.push(function() { googletag.display(\'div-gpt-ad-1484791061427-0\'); }); -->김흥순 기자 sport@asiae.co.kr김현민 기자 kimhyun81@asiae.co.kr김흥순 기자 sport@asiae.co.kr&lt;ⓒ아시아 대표 석간 \'아시아경제\' (www.newsva.co.kr) 무단전재 배포금지&gt;관련기사우리카드 “위비카드로 할인, 포인트 적립 혜택 동시에 누리세요”우리카드, 월 납부금 깎아주는 ‘마이카 우리카드’ 출시\'파다르 34점\' 우리카드, 한국전력 6연승 제동\'파다르 25점\' 우리카드 4위 도약…OK저축은행 7연패']",,아시아경제,,"
'파다르 31점' 우리카드, OK저축은행 꺾고 4위 도약",http://view.asiae.co.kr/news/view.htm?idxno=2017010321083068178
,,"['프로배구에선 삼성화재가대한항공을 물리치고4위 자리에 복귀했습니다. 박철우는 역대 2번째로개인 통산 서브 200개를 돌파하며 모처럼 이름값을 해냈습니다. 손기성 기자입니다.삼성화재는 대한항공의 취약 포지션인 리베로를 집중 공략했습니다. 백광현의 리시브가 약하다는 점을 파고들어 잇따라 목적타를 집어넣자, 대한항공은 우왕좌왕합니다. 박기원(대한항공 감독) : ""당황하지 말라고. 뭐하냐? 오늘 데뷔전하냐?"" 작전타임으로 흐름을 끊어봐도 삼성화재의 공격은 쉴새없이 몰아칩니다. 특히 박철우는 1세트 후반연속 서브에이스로 분위기를 주도했습니다. 상대 추격에 찬물을 끼얹는블로킹도 3개나 잡아내며 포효했습니다. 3세트 초반엔 3번째 서브에이스를 꽂아넣으며 트리플 크라운을 완성했습니다. 개인 통산 2번째 트리플 크라운이자, 역대 2번째로 서브 득점 200개를 돌파한 박철우에게 오늘은 최고의 날이었습니다. 박철우와 타이스의 쌍포가 불을 뿜은 삼성화재는 대한항공을 3대 0으로 물리치고 4위로 올라섰습니다. 박철우(삼성화재 라이트) : ""경기를 하면서 내내 짜릿하고 소름끼치는 그런 느낌으로 팀이 하나돼서 했다는 그런 느낌이 정말 좋았던 것 같아요."" 여자부에선 인삼공사가선두 흥국생명을 3대 1로 물리치고3연승으로 3위까지 점프했습니다.프로농구 오리온의 두목곰 이승현이 감각적인 팁인 슛을 성공시킵니다. 완벽한 타이밍으로 블록슛까지 잡아내는 이승현의 플레이에홈 관중들은 열광합니다. 이승현이 23득점에 리바운드 8개로 올시즌 최고의 활약을 펼쳤고, 앨리웁 덩크를 성공시킨최진수의 공격까지 살아난 오리온은KCC를 84대 65로 크게 물리쳤습니다. KBS 뉴스 손기성입니다.']",입력 2017.01.08 (21:35),KBS뉴스,,"‘박철우 트리플크라운’ 삼성화재, 4위 복귀",http://news.kbs.co.kr/news/view.do?ncd=3407692&ref=A
" 기자
						",,"['자동차는 기본적으로 ‘잘 달리고 제대로 멈춰야’ 한다. 이 기능은 자동차부품 중 타이어에 크게 의존한다. 따라서 안전 운전을 원한다면 타이어를 잘 관리해야 하지만 겨울에는 더욱 신경써야 한다. 눈과 얼음은 타이어의 적이기 때문이다.googletag.display(""google_dfp_MC_2x1,fluid""); 눈이 쌓이지 않았더라도 기온이 떨어지면 타이어 수축현상이 자주 발생해 공기압 감소 속도가 빨라진다.공기압이 적정 수준보다 30% 이상 낮아지면 고속주행 때 타이어가 찌그러지면서 터지는 스탠딩웨이브 현상이 발생한다. 접지력도 떨어져 제동·조향 성능도 나빠지고 연료도 더 많이 소모된다. 타이어를 평소 제대로 관리하지 않은 운전자는 겨울에 목숨을 걸고 운전하는 셈이다. 함께 탄 가족의 생명과 다른 운전자나 보행자의 생명도 위협한다. 겨울철에 안전 운전을 하려면 타이어 공기압과 마모 상태를 수시로 점검하는 게 필수다. 스노타이어와 스노체인도 구비해두면 좋다. ◆스노타이어, 3월까지는 장착해야스노타이어는 일반타이어보다 천연고무와 실리카 사용 비율이 높아 타이어가 더 부드럽고 말랑말랑하다. 고무가 부드러울수록 타이어가 노면을 움켜잡는 효과가 커진다. 일반적으로 눈이 오거나 노면이 얼었을 때 제동거리는 평소보다 2배 이상 길어지지만 스노타이어를 장착하면 제동거리가 감소한다. 제동거리가 줄어들면 눈길 추돌사고를 예방할 수 있다. 삼성화재 부설 삼성교통안전문화연구소는 지난 2012년 ‘눈길 제동 장치 및 타이어 종류별 제동효과 시험’을 실시했다. 그 결과 눈길에서 급제동했을 때 일반타이어 장착차가 스노타이어 장착차보다 7.1~8.7m 더 길게 간 뒤 멈추는 것으로 나왔다. 스노타이어는 눈이 올 때만 효과를 발휘하는 것은 아니다. 눈이 있건 없건 영하의 겨울 날씨로 접지력이 떨어질 때도 제 구실을 톡톡히 한다.스노타이어를 구입했다면 적어도 꽃샘추위가 있는 3월 초까지 장착해 두는 게 낫다. ◆스노체인, 알아야 면장 한다스노체인은 평소엔 트렁크만 차지하는 애물단지 취급을 받지만 갑작스럽게 눈이 내릴 땐 보물단지 대접을 받는다. 그러나 누구에게나 보물단지가 되는 것은 아니다. 자주 쓰는 용품이 아니기에 막상 사놓고도 사용법을 몰라 꿔다 놓은 보릿자루처럼 될 수도 있다. 게다가 제품별로 장착법도 다르다. 미리 사용법을 익혀둬야 제때 제대로 쓸 수 있다. 눈이 온다고 무조건 체인을 장착할 필요는 없다. 적설량이 15cm 이하일 때는 일반 타이어로도 주행할 수 있다. 따라서 일반 타이어로 달리다가 타이어가 미끄러지기 시작할 즈음이 스노체인을 사용해야 하는 시점이다. 스노체인을 끼우면 눈이 30cm 정도 쌓여도 주행할 수 있으나 과속은 절대 금물이다. 또 도로가 얼었다면 스노체인을 쓰지 않는 것이 좋다. 빙판길에서는 스노체인이 오히려 스케이트 날과 같은 역할을 해 더 미끄러질 수 있다. 스노체인 역할을 하는 스프레이 체인도 있다. 눈길에서 타이어가 공회전할 때 임시방편으로 사용하면 효과적이다. 가격도 저렴해 1만원 이하에 구입 가능하다. ◆스노체인이 없다면 타이어 공기를 빼라타이어의 공기압을 10~20% 낮추면 미끄러지는 걸 조금은 예방할 수 있다. 그러나 빙판길에서는 소용이 없다. 또 타이어의 공기를 뺀 상태에서 시속 50km 이상 주행하면 펑크가 날 수 있으므로 과속하지 않아야 한다.googletag.display(""google_dfp_MC_250x250"");타이어의 공기압을 낮추려면 정비업체를 방문하는 게 좋다. 그러나 근처에 정비업체가 없다면 직접 빼야 한다. 타이어에 공기를 넣는 곳의 보호 뚜껑을 열면 중앙에 작은 돌출부분이 있는데 이곳을 누르고 있으면 공기가 빠진다. 타이어 공기를 뺐을 때는 눈길주행을 마친 뒤 반드시 정비업체를 찾아 공기압을 체크해야 한다.[글 최기성 디지털뉴스국 기자사진 볼보, 매경DB][본 기사는 매일경제 Citylife 제561호 (17.01.10일자) 기사입니다][ⓒ 매일경제 &amp; mk.co.kr, 무단전재 및 재배포 금지]window.jQuery || document.write("""")']",: 2017.01.04 10:56:22   수정 : 2017.01.04 10:56:41,매일경제,,[겨울철 타이어 관리] 홀대 당한 타이어의 한겨울 복수혈전,https://www.mk.co.kr/news/culture/view/2017/01/7789/
", ",,"['◆ 레이더M ◆▶ 여기를 누르시면 크게 보실 수 있습니다 지난해 삼성그룹이 2조원 규모의 국내 오피스 빌딩을 처분한 반면 해외 오피스 빌딩을 1조원 넘게 사들여 이목이 집중되고 있다. 서울 도심 일대 오피스 빌딩의 수익성이 악화되자 안정성이 높은 해외 유명 랜드마크로 눈을 돌린 것으로 해석된다. 삼성그룹의 이 같은 행보에 국내 오피스 빌딩 가격이 `꼭지`에 도달한 것 아니냐는 우려도 나오고 있다.5일 투자은행(IB) 업계에 따르면 삼성그룹이 지난 한 해 매각한 국내 오피스 빌딩 규모는 총 2조1987억원에 달했다.googletag.display(""google_dfp_MC_2x1,fluid""); 부영그룹에 넘긴 서울 중구 삼성생명 본관(5717억원)과 삼성화재 을지로 본관(4390억원)을 비롯해 종로타워(3840억원), 프라임타워(1708억원), 삼성금융플라자(1509억원) 등 모두 11개 오피스 빌딩을 팔아치웠다.삼성 금융계열사 관계자는 ""2021년 새 국제회계기준(IFRS17) 도입을 앞두고 지급여력비율(RBC) 등 재무건전성을 개선하기 위해 포트폴리오 조정 차원에서 비핵심 부동산을 매각하고 있다""고 전했다. 삼성생명이 보유한 서울 강남구 대치타워, 송파구 송파빌딩과 수도권 일대 중소형 오피스 빌딩도 매각을 추진 중이거나 검토하고 있어 이 같은 추세는 올해에도 이어질 전망이다.이에 대해 업계는 향후 국내 오피스 빌딩 시장이 하락할 것에 대비한 조치로 풀이하고 있다. 실제 2010년 금융위기 이후 서울 주요 지역의 오피스 빌딩 가격이 크게 오른 사이 실질 임대료는 오히려 줄었다. 낮은 금리를 이용해 기관투자가들이 앞다퉈 오피스 빌딩을 사들이는 바람에 가격은 높아졌지만, 저성장에 오피스 빌딩을 임대하려는 기업이 줄면서 공실이 늘어났기 때문이다.엎친 데 덮친 격으로 최근 금리까지 크게 올라 수익성도 이전만 못해진 상태다.googletag.display(""google_dfp_MC_250x250"");IB 업계 관계자는 ""서울 주요 지역에 신축 오피스 빌딩이 많아지면서 공급이 수요를 초과한 현상을 보이고 있다""면서 ""최근 불어닥친 미국발(發) 금리 인상 여파에 국내 부동산 대출 금리도 상승 중이어서 올해 국내 오피스 빌딩 가격이 더 오르기는 쉽지 않아 보인다""고 전망했다. 이와 반대로 삼성그룹은 지난해 해외 대형 오피스 빌딩을 잇달아 매입했다. 삼성생명 삼성화재 삼성증권 등 금융계열사들이 부동산 전문 자산운용사 삼성SRA자산운용과 손잡고 조성한 부동산펀드를 통해 독일 최고층 빌딩인 프랑크푸르트의 코메르츠방크 타워와 프랑스 파리의 대형 오피스 빌딩인 소웨스트 타워를 각각 9000억원, 4000억원에 인수했다. 특히 각 지역을 대표하는 상징적인 건물을 사들였다는 점에서 해외 오피스 빌딩 투자 시 가장 먼저 안정성을 고려한 것으로 풀이된다. [강두순 기자 / 송광섭 기자][ⓒ 매일경제 &amp; mk.co.kr, 무단전재 및 재배포 금지]window.jQuery || document.write("""")']",: 2017.01.05 17:42:26   수정 : 2017.01.06 11:17:39,매일경제,,빌딩 2조원어치 팔아치운 삼성,https://www.mk.co.kr/news/stock/view/2017/01/12501/
 이윤구 기자,,"['(서울=연합인포맥스) 이윤구 기자 = 현대라이프생명은 지난 5일 임시 주주총회를 열어 이재원 전략기획본부장을 신임 대표이사에 선임했다고 6일 밝혔다.이재원 신임 대표의 임기는 2020년 1월 5일까지이다.이 대표는 1972년생으로 UC버클리대 경영학과를 졸업한 뒤 2004년 KB생명 전략총괄 부사장, 2009년 삼성화재 해외사업부 담당 및 2010년 ING생명 마케팅본부 등을 거쳐 2014년 12월부터 현대라이프생명에 합류했다.yglee2@yna.co.kr(끝)저작권자 © 연합인포맥스 무단전재 및 재배포 금지이윤구 기자', '많이 본 뉴스1[이번주 기획재정부 및 경제부처 일정]2기업은행, 中企 공동구매 전용보증 지원3금감원, 레그테크·섭테크 기업 쇼케이스 개최4신한 vs 국민 \'캄보디아 혈투\'…1조 프라삭 인수경쟁5[이번주 한국은행 및 금융위·금감원 일정]6은행들, 디지털 전환에 IT 인재 직접 키우기7메리츠화재, 오토론 대출채무 상환면제보험 출시8신보, 외담대 전용보험 이달 27일 출시9수협銀, 상반기 디지털 분야 신입행원 채용10결제시장 급변…국내 카드사 규제 막혀 아직 \'걸음마\'']", 2017.01.06 10:12,연합인포맥스,,"현대라이프, 신임 대표이사에 이재원 본부장 선임",http://news.einfomax.co.kr/news/articleView.html?idxno=290449
